reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL08021514A,Adronate Tablet 70mg,PRESCRIPTION,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.,2008-02-28,2013-02-28
MAL19870385A,PROPAMIDE TABLET 250MG,PRESCRIPTION,ATLANTIC LABORATORIES (M) SDN. BHD.,"ATLANTIC LABORATORIES CORP.,LTD.",2008-09-03,2013-09-03
MAL19870182A,DIURAZIDE TABLET 500MG,PRESCRIPTION,ROYCE PHARMA MANUFACTURING SDN. BHD.,ROYCE PHARMA MANUFACTURING SDN. BHD.,2008-09-03,2013-09-03
MAL09042409X,Orthoace  500mg(Glucosamine Sulphate Capsule),NON PRESCRIPTION,JETPHARMA SDN. BHD.,Gujarat Liqui Pharmacaps Private Ltd,2009-04-30,2014-04-30
MAL09042541XSZ,SETAMOL FILM-COATED TABLET 500MG,NON PRESCRIPTION,HOVID BERHAD,Biodeal Pharmaceuticals Pvt. Ltd.,2009-04-30,2014-04-30
MAL09051561A,Betahist Forte Tablets 16mg,PRESCRIPTION,KOMEDIC SDN BHD,GENO Pharmaceuticals Ltd,2009-05-21,2014-05-21
MAL19991147A,DYNA KETOCONAZOLE TABLET,PRESCRIPTION,DYNAPHARM (M) SDN. BHD.,DYNAPHARM (M) SDN. BHD.,2009-05-29,2014-05-29
MAL09062146A,Fexofenadin  STADA® 180mg Film-coated tablet,PRESCRIPTION,STADPHARM SDN. BHD.,Stada-Vietnam Joint Venture Co.Ltd,2009-06-25,2014-06-25
MAL09062147A,Fexofenadin Stada® 120mg Film-coated tablet,PRESCRIPTION,STADPHARM SDN. BHD.,Stada-Vietnam Joint Venture Co.Ltd,2009-06-25,2014-06-25
MAL09062170X,PanaFlex Pain Relief Cream,NON PRESCRIPTION,Haleon Malaysia Sdn. Bhd.,GlaxoSmithKline Costa Rica S.A.,2009-06-25,2014-06-25
MAL19992970T,BALSAM PAK TANI,NATURAL PRODUCT,PERUSAHAAN JAMU ARJUNA SDN. BHD.,PERUSAHAAN JAMU ARJUNA SDN. BHD.,2009-11-27,2014-11-27
MAL20000574T,PAU YING TAN (POWDER),NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2010-04-06,2015-04-06
MAL20000576T,JEN JING TAN (POWDER),NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2010-04-06,2015-04-06
MAL20000575T,CHING SUE SIAU YEN WAN (CAPSULE),NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2010-04-06,2015-04-06
MAL05072046X,Grevity Oil,NON PRESCRIPTION,ASTANA BIOCARE SDN BHD,,2010-07-29,2015-07-29
MAL20001549AC,BROMAZANIL 6 TABLET,PRESCRIPTION,IMEKS PHARMA SDN. BHD.,Salutas pharma GmbH,2010-08-26,2015-08-26
MAL05092289T,LKH Natural LingZhi 250mg,NATURAL PRODUCT,DECHOICE SDN BHD,DECHOICE SDN BHD,2010-09-30,2015-09-30
MAL06011733XCR,Blackmores Pregnancy Formula Capsule,HEALTH SUPPLEMENT,BLACKMORES (MALAYSIA) SDN. BHD.,CATALENT AUSTRALIA PTY LTD,2011-01-27,2016-01-27
MAL20013326T,ZHU PAK JEN JING TAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-04-25,2016-04-25
MAL20013320T,BA BAO ZHEN ZHU JING FENG SAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-04-25,2016-04-25
MAL20013323T,FU KE TONG JING WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-04-25,2016-04-25
MAL20112149X,MyDear GOLD Sheep Placenta PLUS Enteric Coated Soft Gel,NON PRESCRIPTION,ELEVENTH HOUR SDN BHD,Alpha Laboratories (NZ) Limited,2011-06-24,2016-06-24
MAL20013650T,CHAN HOU FU KE WU JIN WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-06-29,2016-06-29
MAL20013961T,CHAN HOU OU KIM WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-07-28,2016-07-28
MAL20014152T,SHI RE DU TONG SAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-08-24,2016-08-24
MAL06081264TC,Kumur-Kumur Mimidula Solution 300ml,NATURAL PRODUCT,PERUBATAN HOMEOPATHY RAZIAH,POLENS (M) SDN. BHD.,2011-08-25,2016-08-25
MAL20014261T,SHE RE HUO XIONG DU TONG WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-09-22,2016-09-22
MAL20014260T,BA BAO ZHU PAK ZHEN CHIN DAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-09-22,2016-09-22
MAL20014262T,QU FENG SU HE WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-09-22,2016-09-22
MAL20014258T,CHONG CAO CHUAN BEI HOU ZAO SAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-09-22,2016-09-22
MAL06091564TC,MINYAK ANGIN  AHJ BERKAT,NATURAL PRODUCT,AHJ BERKAT ENTERPRISE,ART SOULIST HOLDINGS SDN. BHD.,2011-09-30,2016-09-30
MAL06091565TC,MINYAK AKAR KAYU PAK ALI YUNAN,NATURAL PRODUCT,AHJ BERKAT ENTERPRISE,ART SOULIST HOLDINGS SDN. BHD.,2011-09-30,2016-09-30
MAL11105031N,GNC TRIMAX OMEGA-3 FISH OIL,HEALTH SUPPLEMENT,ONI Global (Malaysia) Sdn Bhd,NUTRA MANUFACTURING INC,2011-10-25,2016-10-25
MAL20014423T,SORE THROAT POWDER SPRAY,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-10-27,2016-10-27
MAL06111399TC,OptiBrite Capsules 500mg,NATURAL PRODUCT,Legosan (Malaysia) Sdn Bhd,YANLING NATURAL HYGIENE SDN. BHD.,2011-11-24,2016-11-24
MAL20014633T,ZHU PAK JING JING DAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2011-11-30,2016-11-30
MAL12010010TC,Beau S Capsule,NATURAL PRODUCT,MEGA BIO MARKETING SDN BHD,THE ORIGIN FOODS SDN. BHD.,2012-01-19,2017-01-19
MAL12015021TC,A'DAM JANGGUT (TM) BELIMBING TANAH,NATURAL PRODUCT,Beautyline Tech,TOKO TENAGA KELUARGA SDN. BHD.,2012-01-19,2017-01-19
MAL07010964X,ARGINITRIC GRANULES 3g,HEALTH SUPPLEMENT,"THE ZYFAS MEDICAL CO.,",SAI MIRRA INNOPHARM. PVT. LTD,2012-01-26,2017-01-26
MAL07010972T,MOXISST Pseudoginseng Plus,NATURAL PRODUCT,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.,2012-01-26,2017-01-26
MAL07010973T,MOXISOA Myristica Plus,NATURAL PRODUCT,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.,2012-01-26,2017-01-26
MAL07010974T,MOXISSP Pistacia Plus,NATURAL PRODUCT,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.,2012-01-26,2017-01-26
MAL20020196T,TONG CHONG CAO CHUAN BEI ZI KE WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2012-01-27,2017-01-27
MAL20020193T,HUO XIANG SHE RE DU TONG WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2012-01-27,2017-01-27
MAL20020198T,BA BAO ZHU PAK CHIN FENG SAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2012-01-27,2017-01-27
MAL20020194T,BA ZHEN YAN YEN BAI FENG WAN,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2012-01-27,2017-01-27
MAL07021405T,Moments,NATURAL PRODUCT,HPA INDUSTRIES SDN. BHD.,ORGANIC GAIN SDN. BHD.,2012-02-23,2017-02-23
MAL12025046TC,MB Spirulina,NATURAL PRODUCT,MEGA BIO MARKETING SDN BHD,THE ORIGIN FOODS SDN. BHD.,2012-02-23,2017-02-23
MAL07021505T,JABBAR HIDAYAH HB PLUS CAPSULES,NATURAL PRODUCT,Jabbar Herbs Manufacturing Sdn Bhd,JABBAR HERBS MANUFACTURING SDN. BHD.,2012-02-23,2017-02-23
MAL20122202T,NutraMutiara Oil,NATURAL PRODUCT,Nutralabs,SYARIKAT MUTIARA,2012-03-06,2017-03-06
MAL20122203AZ,Mepivacaine 3 % Injection,PRESCRIPTION,INTERNATIONAL TRADING COMPANY,NEW STETIC S.A,2012-03-06,2017-03-06
MAL20122206T,NutraMutiara MaduArabPlus,NATURAL PRODUCT,Nutralabs,SYARIKAT MUTIARA,2012-03-06,2017-03-06
MAL19970552T,LIQUI-FIVE,NATURAL PRODUCT,SUNRIDER INTERNATIONAL (MALAYSIA) SDN. BHD.,SUNRIDER MANUFACTURING L.P.,2012-03-24,2017-03-24
MAL12035066N,CAVIARLIERI,HEALTH SUPPLEMENT,SWISS CAVIARLIERI MALAYSIA SDN BHD,Swiss Caps AG,2012-03-29,2017-03-29
MAL12035060NCR,VitaHealth CardiFit,HEALTH SUPPLEMENT,VITAHEALTH BIOTECH SDN BHD,NORTHRIDGE LABORATORIES INC,2012-03-29,2017-03-29
MAL12035067NCR,Vitamode SUPERBA ? KRILL OIL capsules,HEALTH SUPPLEMENT,MEDISPEC (M) SDN. BHD.,Laboratoria Lambo,2012-03-29,2017-03-29
MAL20020397X,TAIWAY WHEAT GERM-E PLUS,HEALTH SUPPLEMENT,TAIWAY MARKETING (M) SDN. BHD.,TAIWAY NUTRITION INC,2012-03-31,2017-03-31
MAL12045078TC,San Xio Herbal Tea,NATURAL PRODUCT,Frontier Quarry Sdn Bhd,GN NEUTRICEUTICALS SDN. BHD.,2012-04-26,2017-04-26
MAL12045084TC,NATURE SPIRULINA,NATURAL PRODUCT,MEGA BIO MARKETING SDN BHD,THE ORIGIN FOODS SDN. BHD.,2012-04-26,2017-04-26
MAL19973177T,FOREVER BEE PROPOLIS,NATURAL PRODUCT,FOREVER LIVING PRODUCTS (M) SDN. BHD.,"ALOE VERA OF AMERICA, INC.",2012-05-05,2017-05-05
MAL19920496ARZ,DEXALTIN ORAL PASTE,PRESCRIPTION,PHARMAFORTE (MALAYSIA) SDN. BHD.,"NIPPON KAYAKU CO., LTD.",2012-05-19,2017-05-19
MAL12055049NCR,Shaklee ® COQHEALTH PLUS,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,SOFT GEL TECHNOLOGIES INC,2012-05-31,2017-05-31
MAL20020660TC,CHAN FUI LOONG HERBAL TEA,NATURAL PRODUCT,CHAN FUI LOONG MEDICAL HALL,HONG KONG BAN KAH CHAI MED. FTY. SDN. BHD.,2012-06-12,2017-06-12
MAL07061405TC,Mas Cotek Serapat Wangi Plus,NATURAL PRODUCT,URAZ CORPORATION SDN. BHD.,VITARITE PHARMACEUTICALS SDN BHD,2012-06-22,2017-06-22
MAL12065001TC,RJ Herbs,NATURAL PRODUCT,Rj Supply And Services,SARI TANI DESA SDN. BHD.,2012-06-28,2017-06-28
MAL12075001TC,BIO NICE MISTURA QI JU DI HUANG,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-07-26,2017-07-26
MAL12085003NR,Vitamode CoQ10 Ubiquinol 100mg Capsule,HEALTH SUPPLEMENT,MEDISPEC (M) SDN. BHD.,Eckhart Corporation.,2012-08-30,2017-08-30
MAL12085024TC,Teh Herba Callicarpa Kurnia Mas,NATURAL PRODUCT,Prolific Herb Centre,THOYYIB PHARMA INDUSTRIES (M) SDN. BHD.,2012-08-30,2017-08-30
MAL12085026TC,REDcyte,NATURAL PRODUCT,Ibnu Sina Holistic Medicare Centre,Aning Resources Sdn Bhd (638107-x),2012-08-30,2017-08-30
MAL12095018TC,BIO NICE MISTURA WU WEI,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-09-27,2017-09-27
MAL12095008NCR,Shaklee Chewable Vita-C Plus,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,LEINER HEALTH PRODUCTS,2012-09-27,2017-09-27
MAL12095002NC,Shaklee Optiflora Prebiotic Complex,HEALTH SUPPLEMENT,SHAKLEE PRODUCTS (MALAYSIA) SDN. BHD.,"NBTY MANUFACTURING, LLC",2012-09-27,2017-09-27
MAL12095034NC,29 NEXENTURY FAIR PLUS SOFT GEL,HEALTH SUPPLEMENT,Phri Bio-Tech Sdn Bhd,ALPHA LABORATORIES (NZ) LIMITED,2012-09-27,2017-09-27
MAL07091001T,Ginkgold 60mg Tablet,NATURAL PRODUCT,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2012-09-28,2017-09-28
MAL07090949T,Moxis Cream Gold,NATURAL PRODUCT,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.,2012-09-28,2017-09-28
MAL07090950T,Moxis Ointment,NATURAL PRODUCT,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.,2012-09-29,2017-09-29
MAL12105039TC,BIO NICE MISTURA XIAO YAO,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL12105041TC,BIO NICE MISTURA GUI ZHI,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL12105033TC,BIO NICE MISTURA LIU WEI DI HUANG,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL12105005TC,BIO NICE MISTURA YIN QIAO,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-10-23,2017-10-23
MAL07101369TC,GANODERMA REISHI,NATURAL PRODUCT,HEALTHY LIVING MARKETING,RPM HERBS INDUSTRIES,2012-10-26,2017-10-26
MAL07101279T,Moxis Green Gel,NATURAL PRODUCT,MOXIS HERBAL INDUSTRIES SDN BHD,Moxis Herbal Industries Sdn. Bhd.,2012-10-26,2017-10-26
MAL19973070T,SPIRULINA TABLET 560MG,NATURAL PRODUCT,TAIWAY MARKETING (M) SDN. BHD.,TAIWAY NUTRITION INC,2012-10-27,2017-10-27
MAL12115042TC,MANGOSTANA PLUS,NATURAL PRODUCT,PENAWAR SUFI ENTERPRISE,RPM HERBS INDUSTRIES,2012-11-29,2017-11-29
MAL12115027N,Live-well™ WGP® Beta Glucan plus Vitamin-C Tablets,HEALTH SUPPLEMENT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2012-11-29,2017-11-29
MAL12115046TC,RAJIME KAPSUL BIJI TUNJUK  LANGIT,NATURAL PRODUCT,rajime enterprise,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2012-11-29,2017-11-29
MAL12115002T,PP GINKGO 80 Tablet,NATURAL PRODUCT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2012-11-29,2017-11-29
MAL12115015TC,Aman Liquid,NATURAL PRODUCT,Vital Force Enterprise,FARMINA BIO PLUS INDUSTRIES & CONSULTANTS SDN. BHD.,2012-11-29,2017-11-29
MAL12115004TC,BIO NICE MISTURA  ZHI KE,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-11-29,2017-11-29
MAL20122251TE,ANING MISAI KUCING TEA,NATURAL PRODUCT,ANING RESOURCES SDN. BHD.,ANING RESOURCES SDN. BHD.,2012-11-29,2017-11-30
MAL20122275HAE,TYLONSULFA,VETERINARY ,Excelcrop Sdn Bhd,Excelcrop Sdn Bhd,2012-11-29,2017-11-30
MAL20122276HAE,TYLONSULFA PLUS (+),VETERINARY ,Excelcrop Sdn Bhd,Excelcrop Sdn Bhd,2012-11-29,2017-11-30
MAL12125009TC,BIO NICE MISTURA LONG DAN XIE GAN,NATURAL PRODUCT,Bio Nice Herbal World Sdn Bhd,BIO NICE INDUSTRY SDN BHD,2012-12-27,2017-12-27
MAL12125025TC,Leong Tuck Thong Du Tong Powder,NATURAL PRODUCT,Leong Tuck Thong Enterprise,TST BIOCEUTICAL SDN. BHD.,2012-12-27,2017-12-27
MAL12125011T,HERBA KECI BELING DAN MELADA PAHIT,NATURAL PRODUCT,FADHILAT HERBS ENTERPRISE,FADHILAT HERBS ENTERPRISE,2012-12-27,2017-12-27
MAL12125006TC,Livyoung Noni Essence,NATURAL PRODUCT,livyoung lifestyle sdn. bhd.,Sky Nutraceuticals Sdn. Bhd.,2012-12-27,2017-12-27
MAL12125007TC,STYLIZE,NATURAL PRODUCT,Perfect Nutrients Sdn Bhd,BIOALPHA INTERNATIONAL SDN BHD,2012-12-27,2017-12-27
MAL20031860T,MINYAK SERI KAYU PUTIH PLUS,NATURAL PRODUCT,PENAWAR INDUSTRIES SDN. BHD.,PENAWAR INDUSTRIES SDN. BHD.,2012-12-29,2017-12-29
MAL19973751XZ,CHEWABLE C 500MG TANGY ORANGE TABLET,HEALTH SUPPLEMENT,NUVANTA SDN. BHD.,NATURAL FACTORS NUTRITIONAL PRODUCTS LTD,2013-01-02,2018-01-02
MAL19973750X,"CALCIUM AND MAGNESIUM PLUS C,POTASSIUM AND ZINC TABLET",HEALTH SUPPLEMENT,NUVANTA SDN. BHD.,NATURAL FACTORS NUTRITIONAL PRODUCTS LTD,2013-01-02,2018-01-02
MAL19950860T,DOUBLE DRAGON MEDICAL OIL (LINIMENT),NATURAL PRODUCT,DOUBLE DRAGON MEDICATED OIL,DOUBLE DRAGON MEDICATED OIL,2013-01-05,2018-01-05
MAL13015058NC,APPETON Essentials Multi-Vit plus,HEALTH SUPPLEMENT,KOTRA PHARMA (M) SDN. BHD.,PT. Bintang Toedjoe,2013-01-23,2018-01-23
MAL20032102T,SHANG FENG WAN 500,NATURAL PRODUCT,YONGTIN MEDICAL TRADING,YONGTIN MEDICAL TRADING,2013-01-26,2018-01-26
MAL19984009X,KLEAN & KARE NORMAL SALINE SOLN FOR IRRIGATION,NON PRESCRIPTION,MEDICOPTIC SUPPLIES SDN. BHD.,A.N.B. LABS,2013-01-26,2018-01-26
MAL20032057TC,YIK SHEN TABLET,NATURAL PRODUCT,KUIK CORPORATION SDN BHD,WHITE HERON PHARMACEUTICAL SDN. BHD.,2013-01-26,2018-01-26
MAL08010739AZ,Efaclor 187mg/5ml Granules For Oral Suspension,PRESCRIPTION,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2013-02-01,2018-02-01
MAL08010683AZ,Potassium Chloride 2mEq/mL Solution For I.V. Injection,PRESCRIPTION,POLYLAB BIOTECH SDN. BHD.,EURO-MED LABS PHIL.INC,2013-02-01,2018-02-01
MAL08010774TCS,Nutravite MacaMax Capsule 400mg,NATURAL PRODUCT,NUTRA SOURCE SDN. BHD.,TST BIOCEUTICAL SDN. BHD.,2013-02-01,2018-02-01
MAL08010738AZ,Efaclor 125mg/5ml Granules For Oral Suspension,PRESCRIPTION,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2013-02-01,2018-02-01
MAL08010683AZ,Potassium Chloride 2mEq/mL Solution For I.V. Injection,PRESCRIPTION,POLYLAB BIOTECH SDN. BHD.,EURO-MED LABS PHIL.INC,2013-02-01,2018-02-01
MAL07082860TC,Herbs 21 Plus Liquid,NATURAL PRODUCT,URAZ CORPORATION SDN. BHD.,VITARITE PHARMACEUTICALS SDN BHD,2013-02-28,2018-02-28
MAL07081528TC,Mas Cotek Feminine Hygiene Plus,NATURAL PRODUCT,URAZ CORPORATION SDN. BHD.,VITARITE PHARMACEUTICALS SDN BHD,2013-02-28,2018-02-28
MAL19984527T,ESSENCE CORTEX EUCOMMIAE COMPOUND,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,HUANGSHI CITY BIOLOGICAL PHARM FACTORY,2013-03-01,2018-03-01
MAL20032356TCRS,BLACKMORES GINKGO FORTE 2000 TABLET (SECOND SOURCE),NATURAL PRODUCT,BLACKMORES (MALAYSIA) SDN. BHD.,CATALENT AUSTRALIA PTY LTD,2013-03-23,2018-03-23
MAL08031438TC,Swissmed ENZO Plus Capsule,NATURAL PRODUCT,BIO-SCIENCE MARKETING SDN. BHD.,YANLING NATURAL HYGIENE SDN. BHD.,2013-03-28,2018-03-28
MAL13035033TC,Bigenmax,NATURAL PRODUCT,TMH ENTERPRISE,TST BIOCEUTICAL SDN. BHD.,2013-03-28,2018-03-28
MAL08031364X,Appeton Multivitamin Lysine Syrup,HEALTH SUPPLEMENT,KOTRA PHARMA (M) SDN. BHD.,KOTRA PHARMA (M) SDN. BHD.,2013-03-28,2018-03-28
MAL08031444TC,MISTURA ZHONG TI LIUWEIDIHUANG,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031445TC,MISTURA ZHONG TI YINQIAO,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031447TC,MISTURA ZHONG TI DUZHONG,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031448TC,MISTURA ZHONG TI HUOLUOXIAOLING,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031449TC,MISTURA ZHONG TI GUIPI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031450TC,MISTURA ZHONG TI GANLUXIAODU,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031451TC,MISTURA ZHONG TI LINGGUISHUGAN,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031442TC,MISTURA ZHONG TI JUANBI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031443TC,MISTURA ZHONG TI ZHISOU,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL08031452TC,MISTURA ZHONG TI XIANGSHALIUJUNZI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-03-28,2018-03-28
MAL19930002X,VITAGENIC MULTIVITAMIN CAPSULE,NON PRESCRIPTION,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2013-04-05,2018-04-05
MAL19912825X,WINLAXIT ENEMA,NON PRESCRIPTION,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2013-04-06,2018-04-06
MAL19912806XZ,VITALAX B PLUS TABLET,NON PRESCRIPTION,WINWA MEDICAL SDN. BHD.,WINWA MEDICAL SDN. BHD.,2013-04-06,2018-04-06
MAL20032520TC,HURIX S MASSAGE BALM,NATURAL PRODUCT,JIN BIN CORPORATION SDN. BHD.,J.B. PHARMACY GROUP SDN. BHD.,2013-04-25,2018-04-25
MAL20032542TC,PAI DU TABLET,NATURAL PRODUCT,KUIK CORPORATION SDN BHD,WHITE HERON PHARMACEUTICAL SDN. BHD.,2013-04-25,2018-04-25
MAL13045056X,ZIGA SUSPENSION,NON PRESCRIPTION,MEDICOPTIC SUPPLIES SDN. BHD.,"Bangkok Lab & Cosmetic Co.,Ltd",2013-04-29,2018-04-29
MAL08042418TC,MISTURA ZHONG TI SANGJU,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-04-30,2018-04-30
MAL08042416TC,MISTURA ZHONG TI XIAOCHAIHU,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-04-30,2018-04-30
MAL08042421TC,MISTURA ZHONG TI SHENGMAI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-04-30,2018-04-30
MAL08042417TC,MISTURA ZHONG TI ZHEBEI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-04-30,2018-04-30
MAL08042420TC,MISTURA ZHONG TI ERCHEN,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-04-30,2018-04-30
MAL08042239TC,Molokheiya  1001,NATURAL PRODUCT,IMASCORP SDN BHD,SG GLOBAL BIOTECH SDN. BHD.,2013-04-30,2018-04-30
MAL08042264TC,OB Herbal Liquid 60ml,NATURAL PRODUCT,Herbal Zone International Sdn. Bhd.,POLENS (M) SDN. BHD.,2013-04-30,2018-04-30
MAL20021670T,CT Herbs Spices Nasuha Centella Herbal Tea Plus,NATURAL PRODUCT,BUDAYATAMA CORPORATION SDN BHD,BUDAYATAMA CORPORATION SDN BHD,2013-05-02,2018-05-02
MAL08051616TC,Glucinn Capsule 350mg,NATURAL PRODUCT,Herbal Zone International Sdn. Bhd.,POLENS (M) SDN. BHD.,2013-05-30,2018-05-30
MAL08051640TC,MISTURA ZHONG TI GUIZHI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-05-30,2018-05-30
MAL08051641TC,MISTURA ZHONG TI TIAOWEICHENQI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-05-30,2018-05-30
MAL08051642TC,MISTURA ZHONG TI LIUJUNZI,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-05-30,2018-05-30
MAL20021344T,MISTURA SANG JU (LIQUID) 500ML,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,MIN KANG DRUG MFG,2013-05-30,2018-05-30
MAL20021345T,MISTURA FU ZI LI ZHONG LIQUID 500ML,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,MIN KANG DRUG MFG,2013-05-30,2018-05-30
MAL13055015T,JIAI IMPERIAL GOLD,NATURAL PRODUCT,Sheju (m) Sdn Bhd,"Umeken Co., Ltd",2013-05-30,2018-05-30
MAL08051643TC,MISTURA ZHONG TI QIJUDIHUANG,NATURAL PRODUCT,ZHONG TI ENTERPRISE SDN. BHD.,BIO NICE INDUSTRY SDN BHD,2013-05-30,2018-05-30
